OrgID,FisYear,CDFlag,overall_score,econ_score,envrn_score,lenvrnmntl,corpgov_score,social_score,feeddate,fyenddate,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
11238,2008,40000000000,0.96854553,0.89786439,0.93640374,,0.93138494,0.95499552,11/15/2020,12/31/2008,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2015,40000000000,0.9566039,0.87252125,0.93682626,,0.97735763,0.95262606,11/15/2020,12/31/2015,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2012,40000000000,0.96143625,0.91513724,0.91463242,,0.94247493,0.96341209,11/15/2020,12/31/2012,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2009,40000000000,0.95470088,0.85151328,0.94413787,,0.84012,0.96595655,11/15/2020,12/31/2009,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2007,40000000000,0.95764758,0.86051854,0.91418355,,0.88198422,0.97054074,11/15/2020,12/31/2007,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2005,40000000000,0.92297478,0.79124445,0.78231969,,0.68471955,0.99171766,11/15/2020,12/31/2005,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2020,40000000000,0.98675593,0.9444413,,,0.98409329,0.97168052,11/15/2020,,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2011,40000000000,0.96038694,0.95186176,0.92786097,,0.94814833,0.90472814,11/15/2020,12/31/2011,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2018,40000000000,0.95904733,0.71737719,0.95397141,,0.97904649,0.94201434,11/15/2020,12/31/2018,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2006,40000000000,0.98109503,0.98459981,0.95641666,,0.94677709,0.98924282,11/15/2020,12/31/2006,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2002,40000000000,0.91686458,0.96883023,0.81705817,,0.42198059,0.96611775,11/8/2020,12/31/2002,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2019,40000000000,0.98613811,0.94786418,,,0.9670828,0.97104396,11/15/2020,,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2003,40000000000,0.93272796,0.91971368,0.73449668,,0.71620278,0.89894123,11/8/2020,12/31/2003,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2010,40000000000,0.96693544,0.97410446,0.93568947,,0.92130081,0.94899558,11/15/2020,12/31/2010,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2004,40000000000,0.85037648,0.8346955,0.4540478,,0.65799662,0.95605973,11/15/2020,12/31/2004,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
11238,2017,40000000000,0.9620783,0.94100644,0.94135733,,0.97898351,0.94817003,11/15/2020,12/31/2017,A4_00260,BNP Paribas SA,5510,EPA,1,8589934326,BNPPA,,730968,FR0000131104
12434,2020,40000000000,0.90908377,0.62153528,,,0.81849344,0.75171099,11/15/2020,,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2009,40000000000,0.96561248,0.94982832,0.91388953,,0.9220915,0.93686529,11/15/2020,12/31/2009,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2018,40000000000,0.96302813,0.90658282,0.90293806,,0.90521512,0.92100458,11/15/2020,12/31/2018,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2015,40000000000,0.94873908,0.92990347,0.93087824,,0.84792686,0.94953647,11/15/2020,12/31/2015,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2016,40000000000,0.93771002,0.91132321,0.935697,,0.82922502,0.87848006,11/15/2020,12/31/2016,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2014,40000000000,0.9505909,0.89641653,0.93463896,,0.9051493,0.87114785,11/15/2020,12/31/2014,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2019,40000000000,0.90446032,0.5972947,0.92338164,,0.81665429,0.75719864,11/15/2020,12/31/2019,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2017,40000000000,0.9474954,0.8956219,0.94663715,,0.8842858,0.92400276,11/15/2020,12/31/2017,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2011,40000000000,0.95926749,0.96109133,0.93798431,,0.90629069,0.91445817,11/15/2020,12/31/2011,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2010,40000000000,0.90425463,0.60907706,0.89291893,,0.8819919,0.88069663,11/15/2020,12/31/2010,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2013,40000000000,0.95024284,0.87197,0.93474099,,0.85959638,0.92603383,11/15/2020,12/31/2013,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2012,40000000000,0.94652718,0.93057255,0.91510109,,0.89729364,0.84061152,11/15/2020,12/31/2012,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2007,40000000000,0.94792555,0.80221391,0.93658616,,0.85272686,0.94293362,11/15/2020,12/31/2007,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2005,40000000000,0.98273266,0.98772095,0.97163146,,0.92328691,0.98451944,11/15/2020,12/31/2005,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2004,40000000000,0.97477213,0.94904818,0.84121208,,0.96327109,0.97470278,11/15/2020,12/31/2004,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2008,40000000000,0.96587409,0.95324375,0.92808133,,0.91552052,0.89013846,11/15/2020,12/31/2008,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2002,40000000000,0.94921685,0.94370809,0.79816208,,0.67749968,0.97499372,11/8/2020,12/31/2002,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2003,40000000000,0.94778122,0.85248833,0.78333113,,0.79821154,0.94521122,11/8/2020,12/31/2003,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
12434,2006,40000000000,0.97956239,0.96834344,0.96687949,,0.92434478,0.98814088,11/15/2020,12/31/2006,A4_00061,BP PLC,5010,LON,1,4295894740,BPORD,,79805,GB0007980591
16424,2008,40000000000,0.7988477,0.86324296,0.9248797,,0.17656431,0.81290088,11/15/2020,3/31/2008,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2007,40000000000,0.69846274,0.60497097,0.93631445,,0.11687298,0.84030657,11/15/2020,3/31/2007,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2006,40000000000,0.8724909,0.91376789,0.96598159,,0.21120046,0.92890653,11/15/2020,3/31/2006,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
16424,2005,40000000000,0.9014164,0.92783653,0.97148897,,0.28048077,0.94853478,11/15/2020,3/31/2005,A4_00195,Toyota Motor Corp,5310,TYO,1,4295876746,TOYOT,,690064,JP3633400001
